Object Number,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
04.1a–c,TRUE,FALSE,35,706,The American Wing,1904,Vase,The Adams Vase,American,,,,,108316253,Designer|Manufacturer,Designed by|Manufactured by,Paulding Farnham|Tiffany & Co.,1859–1927|1837–present, | ,"Farnham, Paulding|Tiffany & Co.",American| ,1859      |1837      ,1927      |9999      ,|,http://vocab.getty.edu/page/ulan/500336597|http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q13476260|https://www.wikidata.org/wiki/Q1066858,1893–95,1893,1895,"Gold, amethysts, spessartites, tourmalines, fresh water pearls, quartzes, rock crystal, and enamel","Overall: 19 7/16 x 13 x 9 1/4 in. (49.4 x 33 x 23.5 cm); 352 oz. 18 dwt. (10977 g)
Body: H. 18 7/8 in. (47.9 cm)
Cover: 4 1/4 x 4 13/16 in. (10.8 x 12.2 cm); 19 oz. 6 dwt. (600.1 g)","Gift of Edward D. Adams, 1904",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/35,https://www.wikidata.org/wiki/Q83545838,,"Metropolitan Museum of Art, New York, NY",Animals|Garlands|Birds|Men,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300167386|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q756600|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441
51.12.2,TRUE,TRUE,200,708,The American Wing,1951,Armchair,Spindle-back armchair,American,,,,,,,,,,,,,,,,,,1640–80,1640,1680,Ash,44 3/4 x 23 1/2 x 15 3/4 in. (113.7 x 59.7 x 40 cm),"Gift of Mrs. J. Insley Blair, 1951",Possibly made in|Possibly made in,Boston|Charlestown,,,United States|United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/200,https://www.wikidata.org/wiki/Q29382862,,"Metropolitan Museum of Art, New York, NY",,,
1986.204,TRUE,TRUE,214,736,The American Wing,1986,Armchair,Armchair,American,,,,,345,Maker,Possibly,Gustave Herter,1830–1898, ,"Herter, Gustave","German (Stuttgart, principality of Württemberg)",1830,1898,,http://vocab.getty.edu/page/ulan/500088027,https://www.wikidata.org/wiki/Q1556712,ca. 1855,1852,1858,"Walnut, original leather, modern velvet cushion",64 1/2 x 25 3/8 x 22 1/4 in. (163.8 x 64.5 x 56.5 cm),"Friends of the American Wing Fund, 1986",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/214,https://www.wikidata.org/wiki/Q83560001,,"Metropolitan Museum of Art, New York, NY",,,
1970.35.1,TRUE,TRUE,237,736,The American Wing,1970,Armchair,Armchair,American,,,,,16381,Maker,Attributed to,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19, ,Pottier and Stymus Manufacturing Company , ,1858,1919,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1870–75,1867,1875,"Rosewood, prickly juniper veneer, gilding, brass, original tapestry upholstery",37 x 27 1/2 x 27 1/2 in. (94 x 69.9 x 69.9 cm),"Funds from various donors, 1970",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/237,https://www.wikidata.org/wiki/Q29382865,,"Metropolitan Museum of Art, New York, NY",Sphinx,http://vocab.getty.edu/page/aat/300375739,https://www.wikidata.org/wiki/Q151480
25.173a–o,TRUE,FALSE,282,700,The American Wing,1925,Window,Autumn Landscape,American,,,,,162541353,Maker|Designer, |Attributed to,Tiffany Studios|Agnes F. Northrop,"1902–32|American, Flushing, New York 1857–1953 New York, New York", | ,"Tiffany Studios |Northrop, Agnes F.", |American,1902      |1857      ,1932      |1953      ,|Female,http://vocab.getty.edu/page/ulan/500331813|(not assigned),https://www.wikidata.org/wiki/Q19587243|https://www.wikidata.org/wiki/Q102156729,1923–24,1923,1924,Leaded Favrile glass,132 x 102 in. (335.3 x 259.1 cm),"Gift of Robert W. de Forest, 1925",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/282,https://www.wikidata.org/wiki/Q83560015,,"Metropolitan Museum of Art, New York, NY",Windows|Waterfalls|Landscapes|Autumn,http://vocab.getty.edu/page/aat/300002944|http://vocab.getty.edu/page/aat/300008736|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300133093,https://www.wikidata.org/wiki/Q35473|https://www.wikidata.org/wiki/Q34038|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q1314
54.167,TRUE,TRUE,364,750,The American Wing,1954,Basket,Basket,American,,,,,115,Maker, ,Myer Myers,1723–1795, ,"Myers, Myer",American,1723,1795,,http://vocab.getty.edu/page/ulan/500092592,https://www.wikidata.org/wiki/Q29441860,1770–76,1770,1776,Silver,11 3/16 x 14 7/16 x 11 3/8 in. (28.4 x 36.7 x 28.9 cm); 41 oz. 5 dwt. (1282.7 g),"Morris K. Jesup Fund, 1954",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/364,https://www.wikidata.org/wiki/Q29382867,,"Metropolitan Museum of Art, New York, NY",,,
66.10.2,TRUE,TRUE,458,751,The American Wing,1966,Bench,Bench,"American, Shaker",,,,,8737,Maker, ,United Society of Believers in Christ’s Second Appearing (“Shakers”),"American, active ca. 1750–present", ,United Society of Believers in Christ’s Second Appearing,American,1750,9999,,(not assigned),https://www.wikidata.org/wiki/Q1370167,1825–50,1825,1850,Pine,26 1/2 x 94 x 12 in. (67.3 x 238.8 x 30.5 cm),"Friends of the American Wing Fund, 1966",Probably made in,Hancock,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/458,https://www.wikidata.org/wiki/Q104412962,,"Metropolitan Museum of Art, New York, NY",,,
1981.83,FALSE,TRUE,632,704,The American Wing,1981,Bottle,Bottle,American,,,,,123,Maker,Probably,Wistarburgh Glassworks, , ,Wistarburgh Glassworks ,American,          ,9999,,,,1738–ca. 1777,1738,1777,Free-blown glass,H. 6 1/2 in. (16.5 cm),"Purchase, Judith F. and William H. Hernstadt Gift, 1981",Made in,Alloway,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/632,https://www.wikidata.org/wiki/Q104412963,,"Metropolitan Museum of Art, New York, NY",Dogs,http://vocab.getty.edu/page/aat/300265714,https://www.wikidata.org/wiki/Q144
12.3.1,TRUE,TRUE,674,749,The American Wing,1912,Basin,Basin,Mexican,,,,,18713,Artist, ,Master Potter A, , ,Master Potter A, ,          ,          ,,,,ca. 1650,1647,1650,Tin-glazed earthenware,Diam. 20 3/4 in. (52.7 cm),"Gift of Mrs. Robert W. de Forest, 1912",Made in,,,,Mexico,,,,,,,,,http://www.metmuseum.org/art/collection/search/674,https://www.wikidata.org/wiki/Q29382870,,"Metropolitan Museum of Art, New York, NY",,,
38.63,TRUE,TRUE,802,750,The American Wing,1938,Bowl,Two-handled Bowl,American,,,,,124,Maker, ,Cornelius Kierstede,1674–ca. 1757, ,"Kierstede, Cornelius",American,1674,1760,,http://vocab.getty.edu/page/ulan/500068837,https://www.wikidata.org/wiki/Q67131647,1700–1710,1700,1710,Silver,"Overall: 5 3/8 x 13 13/16 in. (13.7 x 35.1 cm); 25 oz. 19 dwt. (806.9 g)
Lip: Diam. 9 11/16 in. (24.6 cm)
Foot: Diam. 4 13/16 in. (12.2 cm)","Samuel D. Lee Fund, 1938",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/802,https://www.wikidata.org/wiki/Q29382872,,"Metropolitan Museum of Art, New York, NY",Tulips,http://vocab.getty.edu/page/aat/300379705,https://www.wikidata.org/wiki/Q30345409
"22.186a, b",FALSE,FALSE,948,743,The American Wing,1922,Jar,Covered jar,American,,,,,16277,Maker, ,Marie Zimmermann,"American, Brooklyn, New York 1879–1972 Punta Gorda, Florida", ,"Zimmermann, Marie",American,1879,1972,Female,http://vocab.getty.edu/page/ulan/500106043,https://www.wikidata.org/wiki/Q6763088,1905–15,1905,1915,"Silver, gold,  jade, crystal, and rubies","Overall: 6 1/2 x 3 5/16 x 2 3/8 in. (16.5 x 8.4 x 6 cm); 12 oz. 1 dwt. (375 g)
Body: H. 3 1/4 in. (8.3 cm); 8 oz. 5 dwt. (256.1 g)
Cover: H. 3 3/8 in. (8.6 cm); 3 oz. 16 dwt. (118.9 g)","Purchase, Edward C. Moore Jr. Gift, 1922",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/948,https://www.wikidata.org/wiki/Q98224424,,"Metropolitan Museum of Art, New York, NY",,,
"77.9a, b",TRUE,TRUE,1029,706,The American Wing,1877,Vase,The Bryant Vase,American,,,,,1.29E+18,Designer|Manufacturer|Decorator|Designer,Designed by|Manufactured by|Chased by|Medallions by,James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens,"1833–1902|1837–present|1832–1901|American, Dublin 1848–1907 Cornish, New Hampshire", | | | ,"Whitehouse, James Horton|Tiffany & Co.|Soligny, Eugene J.|Saint-Gaudens, Augustus", | |American|American,1833      |1837      |1832      |1848      ,1902      |9999      |1901      |1907      ,|||,|http://vocab.getty.edu/page/ulan/500330306||http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q29438542|https://www.wikidata.org/wiki/Q1066858||https://www.wikidata.org/wiki/Q770625,1876,1876,1876,Silver and gold,33 1/2 x 14 x 11 5/16 in. (85.1 x 35.6 x 28.7 cm); Diam. 11 5/16 in. (28.7cm); 452 oz. 16 dwt. (14084.2 g),"Gift of William Cullen Bryant, 1877",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1029,https://www.wikidata.org/wiki/Q29382874,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Birds|Men|Women|Flowers,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q506
10.125.168,TRUE,TRUE,1076,,The American Wing,1910,Cabinet,Cabinet,American,,,,,,,,,,,,,,,,,,1679,1679,1679,"Red oak, white pine, black walnut, red cedar, maple",18 x 17 x 10 in. (45.7 x 43.2 x 25.4 cm),"Gift of Mrs. Russell Sage, 1909",Made in,Salem,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1076,https://www.wikidata.org/wiki/Q83560038,,"Metropolitan Museum of Art, New York, NY",,,
1985.116,TRUE,TRUE,1083,743,The American Wing,1985,Cabinet,Cabinet,American,,,,,130,Maker,Attributed to,Daniel Pabst,"American, born Germany 1826–1910 Philadelphia, Pennsylvania", ,"Pabst, Daniel","American, born Germany",1826,1910,,http://vocab.getty.edu/page/ulan/500079679,https://www.wikidata.org/wiki/Q5218374,ca. 1877–80,1874,1880,"Walnut, maple, white pine, glass",96 x 42 x 20 in. (243.8 x 106.7 x 50.8 cm),"Friends of the American Wing Fund, 1985",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1083,https://www.wikidata.org/wiki/Q29382881,,"Metropolitan Museum of Art, New York, NY",,,
68.100.1,TRUE,TRUE,1084,774,The American Wing,1968,Cabinet,Cabinet,American,,,,,119,Maker, ,Alexander Roux,1813–1886, ,"Roux, Alexander",French,1813,1886,,(not assigned),https://www.wikidata.org/wiki/Q4719984,ca. 1866,1863,1866,"Rosewood, tulipwood, cherry, poplar, pine",53 3/8 x 73 3/8 x 18 3/8 in. (135.6 x 186.4 x 46.7 cm),"Purchase, The Edgar J. Kaufmann Foundation Gift, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1084,https://www.wikidata.org/wiki/Q29382884,,"Metropolitan Museum of Art, New York, NY",Men|Women,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467
