title,date_start,artist_display,place_of_origin,medium_display,credit_line,publication_history,exhibition_history,artwork_type_title,department_title,style_title,classification_title,museum,museum_location
Penitent Saint Peter,1628,"Jusepe de Ribera
Spanish, 1588–1652",Spain,Oil on canvas,"Mrs. Goldabelle Macomb Finn Fund, with additional support from friends of the European Painting Department, Mrs. James W. Alsdorf, Mrs. Edward McCormick Blair, Mr. and Mrs. Gerald Gidwitz, Josephine and John J. Louis, Jr., the Otto L. and Hazel T. Rhoades Fund and Mrs. George B. Young; L.L. A.S. Coburn Endowment","William B. Jordan, review of Jusepe de Ribera, 1591–1652, in Burlington Magazine, 134 (1992), p. 625.

Paul Jeromack, “Panorama del collezionismo pubblico nell’America del Nord, 1990–1995,” Pittura italiana antica: artisti e opere del Seicento e del Settecento, Milan, 1995, p. 58.

Victor I. Stoichita, Visionary Experience in the Golden Age of Spanish Art, London, 1995, pp. 155 (ill.), 170-71.

Ferdinando Bologna, “Per Giovanni Ricca; con qualche aggiunta a Enrico Fiammingo, al Monrealese e a Gian Giacomo Manecchia,” Scritti in memoria di Raffaello Causa, Naples, 1996, pp. 15, 36 n. 32.

Nicola Spinosa, Ribera, Naples, 2003, pp. 107, 238 n. 77, 272, no. A67 (ill.).

Martha Wolff, “Saint Peter Penitent,” Art Institute of Chicago Museum Studies 30, 1, 2004, pp. 58-59 (color ills.).

Nicola Spinosa, Ribera, Naples, 2006 (revised from 2003 1st ed.), pp. 107, 238, 292, no. A80 (ill.)","Naples, Museo e Gallerie Nazionali di Capodimonte, Jusepe de Ribera, 1591–1652, February 27-May 17, 1992, no. 30.

Madrid, Museo del Prado, Jusepe de Ribera, 1591–1652, July 2-August 16, 1992, no. 27.

New York, The Metropolitan Museum of Art, Jusepe de Ribera, 1591–1652, September 18-November 29, 1992, no. 21.",Painting,Painting and Sculpture of Europe,,oil on canvas,Art Institute of Chicago,USA
Bust of Paris,1809,"Antonio Canova  
Italian, 1757-1822",Italy,Marble,Harold Stuart Endowment; purchased with funds provided by Mrs. Harold T. Martin,"J. S. Memes, Memoirs of Antonio Canova, with a Critical Analysis of his Works, and an Historical Overview of Modern Sculpture (Edinburgh, 1825), pp. 508, 576.

Antoine Quatremère de Quincy, Canova et ses ouvrages ou mémoires historiques sur la vie et les traveaux de ce célèbre artiste (Paris, 1834), p. 175, no. 1.

""Succession de Mme. C.,"" Gazette de l’hôtel Drouot 17, 347–48 (December 10–11, 1908).

René Schneider, Quatremère de Quincy et son intervention dans les arts: 1788-1830 (Paris, 1910), p. 381.

Elena Bassi, La Gipsoteca di Possagno: Sculture E Dipinti di Antonio Canova (Venice, 1957), pp. 180–81.

Gérard Hubert, La Sculpture dan l'Italie Napoléonienne (Paris, 1964), pp. 135-36 n. 6, fig. 43.

Mario Praz, L’Opera completa del Canova (Milan, 1976), p. 118, nos. 207, 208.

Ian Wardropper and Thomas Rowlands, ""Antonio Canova and Quatremère de Quincy: The Gift of Friendship,"" Art Institute of Chicago Museum Studies 15, 1 (1989), pp. 38–46.

Venice, Correr Museum, Canova (1992), p. 320, no.144 (ill.).

Hugh Honour, Edizione nazionale delle opere di Antonio Canova 1 (Rome, 1994), pp. 405, 414.

Ian Wardropper, ""Collecting European Sculpture at the Art Institute of Chicago,"" Apollo 154, 475 (September 2001), pp. 9–10, no. 13.

Bassano del Grappa, Museo Civico, Canova (2003), pp. 398-99, fig. IV24.","Art Institute of Chicago, ""Canova and France,"" 15 January – 20 February 1985 [no cat].",Sculpture,Painting and Sculpture of Europe,Neoclassicism,bust/head,Art Institute of Chicago,USA
Hyacinth Awaiting His Turn to Throw the Discus,1817,"François-Joseph Bosio
French, 1768-1845",France,Bronze,Through prior acquisitions of the George F. Harding Collection; Major Acquisitions Fund,"“Revue des ventes: Collection de Mme. la baronne Roger de Sivry,” Gazette de l’hôtel Drouot 13, no. 84–85 (March 24 and 25, 1904).

L. Barbarin, Étude sur Bosio: Sa vie et son oeuvre (Imprimerie de Monaco, 1910), 109–10.

Gérard Hubert, Les Sculpteurs italiens en France sous la Révolution, L’Empire et la Restauration, 1790–1830 (Paris: Éditions E. de Boccard, 1964), 109, no. 1.

Stanislas Lami, Dictionaire des sculpteurs de l’école française au dix-neuvième siècle 1, reprint (Nendeln, Liechtenstein: Kraus, 1970), 155.

“Principales acquisitions des musées en 1991,” Gazette des Beaux-Arts 119 (March 1992): 71, fig. 242.

Ian Wardropper, “Collecting European Sculpture at the Art Institute of Chicago,” Apollo 154, no. 475 (September 2001): 9–10, 12 n. 13, fig. 14.

Volker Krahn, “Die Regentschaft von Friedrich Wilhelm III,” Jahrbuch der Berliner Museen 60, Von Italien nach Preußen: Die Entstehung der Skulpturensammlung im Königlichen Museum 1820–1870 (November 2022): 122, fig. 134.

For information about the feminized male nude in the neoclassical tradition, see: Abigail Solomon-Godeau, ""The Body Politics of Homosociality,"" in Male Trouble: A Crisis in Representation (New York: Thames and Hudson, 1997), 43-97.",,Sculpture,Painting and Sculpture of Europe,,large scale,Art Institute of Chicago,USA
Vase,1766,"Clodion (Claude Michel)
French, 1738-1814",France,Marble,Through prior acquisition of the George F. Harding Collection; Harold L. Stuart Endowment,"Stella Rubinstein-Bloch, Catalogue of the Collection of George and Florence Blumenthal, Vol. V: Paintings, Drawings, Sculptures, XVIIIth Century (Paris, 1930), pl. LVIII.

Anne L. Poulet, “A Neoclassical Vase by Clodion,” Art Institute of Chicago Museum Studies 15, 2 (1989), pp. 139-53.

Michael Levey, “Clodion,” exhibition review, Burlington Magazine (June 1992), pp. 395-97.

Barbara Scott, “Clodion as a Monumental Sculptor,” Apollo (June 1992), pp. 395-96.

Wardropper, Ian, “Collecting European Scupture at The Art Institute of Chicago,”
Apollo (Soeptember 2001), pp. 3-12.","New York, Metropolitan Museum of Art, “French Painting and Sculpture of the XVIII Century,” 6 November 1935 – 5 January 1936, no. 99.

Paris, Musée du Louvre, “Clodion,” 20 March – 29 June 1992, no. 7.

Philadelphia Museum of Art, “Art in Rome in the Eighteenth Century,” 16 March – 28 May 2000, and Museum of Fine Arts, Houston, 25 June – 17 September 2000, no. 126.",Sculpture,Painting and Sculpture of Europe,,vase,Art Institute of Chicago,USA
"Bust of Anne-Marie-Louise Thomas de Domangeville de Sérilly, Comtesse de Pange",1780,"Jean Antoine Houdon
French, 1741—1828",France,Marble,"Through prior acquisitions of the George F. Harding Collection; the Lacy Armour, Harry and Maribel G. Blum Foundation, Richard T. Crane, Jr. and European Decorative Arts Purchase endowments; Eloise W. Martin and European Decorative Arts Purchase funds; purchased with funds provided by the Woman's Board in honor of Gloria Gottlieb and Mrs. Eric Oldberg; through prior acquisitions of Robert Allerton, Mary and Leigh Block, Mr. and Mrs. Robert Andrew Brown, Miss Janet Falk, J.S. Landon Fund, Brooks and Hope B. McCormick, Mr. and Mrs. Joseph Regenstein, Sr., Mrs. Florene Schoenborn, and the Solomon A. Smith Charitable Trust through the Antiquarian Society",,,Sculpture,Painting and Sculpture of Europe,,sculpture,Art Institute of Chicago,USA
Penitent Saint Peter,1628,"Jusepe de Ribera
Spanish, 1588–1652",Spain,Oil on canvas,"Mrs. Goldabelle Macomb Finn Fund, with additional support from friends of the European Painting Department, Mrs. James W. Alsdorf, Mrs. Edward McCormick Blair, Mr. and Mrs. Gerald Gidwitz, Josephine and John J. Louis, Jr., the Otto L. and Hazel T. Rhoades Fund and Mrs. George B. Young; L.L. A.S. Coburn Endowment","William B. Jordan, review of Jusepe de Ribera, 1591–1652, in Burlington Magazine, 134 (1992), p. 625.

Paul Jeromack, “Panorama del collezionismo pubblico nell’America del Nord, 1990–1995,” Pittura italiana antica: artisti e opere del Seicento e del Settecento, Milan, 1995, p. 58.

Victor I. Stoichita, Visionary Experience in the Golden Age of Spanish Art, London, 1995, pp. 155 (ill.), 170-71.

Ferdinando Bologna, “Per Giovanni Ricca; con qualche aggiunta a Enrico Fiammingo, al Monrealese e a Gian Giacomo Manecchia,” Scritti in memoria di Raffaello Causa, Naples, 1996, pp. 15, 36 n. 32.

Nicola Spinosa, Ribera, Naples, 2003, pp. 107, 238 n. 77, 272, no. A67 (ill.).

Martha Wolff, “Saint Peter Penitent,” Art Institute of Chicago Museum Studies 30, 1, 2004, pp. 58-59 (color ills.).

Nicola Spinosa, Ribera, Naples, 2006 (revised from 2003 1st ed.), pp. 107, 238, 292, no. A80 (ill.)","Naples, Museo e Gallerie Nazionali di Capodimonte, Jusepe de Ribera, 1591–1652, February 27-May 17, 1992, no. 30.

Madrid, Museo del Prado, Jusepe de Ribera, 1591–1652, July 2-August 16, 1992, no. 27.

New York, The Metropolitan Museum of Art, Jusepe de Ribera, 1591–1652, September 18-November 29, 1992, no. 21.",Painting,Painting and Sculpture of Europe,,oil on canvas,Art Institute of Chicago,USA
Bust of Paris,1809,"Antonio Canova  
Italian, 1757-1822",Italy,Marble,Harold Stuart Endowment; purchased with funds provided by Mrs. Harold T. Martin,"J. S. Memes, Memoirs of Antonio Canova, with a Critical Analysis of his Works, and an Historical Overview of Modern Sculpture (Edinburgh, 1825), pp. 508, 576.

Antoine Quatremère de Quincy, Canova et ses ouvrages ou mémoires historiques sur la vie et les traveaux de ce célèbre artiste (Paris, 1834), p. 175, no. 1.

""Succession de Mme. C.,"" Gazette de l’hôtel Drouot 17, 347–48 (December 10–11, 1908).

René Schneider, Quatremère de Quincy et son intervention dans les arts: 1788-1830 (Paris, 1910), p. 381.

Elena Bassi, La Gipsoteca di Possagno: Sculture E Dipinti di Antonio Canova (Venice, 1957), pp. 180–81.

Gérard Hubert, La Sculpture dan l'Italie Napoléonienne (Paris, 1964), pp. 135-36 n. 6, fig. 43.

Mario Praz, L’Opera completa del Canova (Milan, 1976), p. 118, nos. 207, 208.

Ian Wardropper and Thomas Rowlands, ""Antonio Canova and Quatremère de Quincy: The Gift of Friendship,"" Art Institute of Chicago Museum Studies 15, 1 (1989), pp. 38–46.

Venice, Correr Museum, Canova (1992), p. 320, no.144 (ill.).

Hugh Honour, Edizione nazionale delle opere di Antonio Canova 1 (Rome, 1994), pp. 405, 414.

Ian Wardropper, ""Collecting European Sculpture at the Art Institute of Chicago,"" Apollo 154, 475 (September 2001), pp. 9–10, no. 13.

Bassano del Grappa, Museo Civico, Canova (2003), pp. 398-99, fig. IV24.","Art Institute of Chicago, ""Canova and France,"" 15 January – 20 February 1985 [no cat].",Sculpture,Painting and Sculpture of Europe,Neoclassicism,bust/head,Art Institute of Chicago,USA
Hyacinth Awaiting His Turn to Throw the Discus,1817,"François-Joseph Bosio
French, 1768-1845",France,Bronze,Through prior acquisitions of the George F. Harding Collection; Major Acquisitions Fund,"“Revue des ventes: Collection de Mme. la baronne Roger de Sivry,” Gazette de l’hôtel Drouot 13, no. 84–85 (March 24 and 25, 1904).

L. Barbarin, Étude sur Bosio: Sa vie et son oeuvre (Imprimerie de Monaco, 1910), 109–10.

Gérard Hubert, Les Sculpteurs italiens en France sous la Révolution, L’Empire et la Restauration, 1790–1830 (Paris: Éditions E. de Boccard, 1964), 109, no. 1.

Stanislas Lami, Dictionaire des sculpteurs de l’école française au dix-neuvième siècle 1, reprint (Nendeln, Liechtenstein: Kraus, 1970), 155.

“Principales acquisitions des musées en 1991,” Gazette des Beaux-Arts 119 (March 1992): 71, fig. 242.

Ian Wardropper, “Collecting European Sculpture at the Art Institute of Chicago,” Apollo 154, no. 475 (September 2001): 9–10, 12 n. 13, fig. 14.

Volker Krahn, “Die Regentschaft von Friedrich Wilhelm III,” Jahrbuch der Berliner Museen 60, Von Italien nach Preußen: Die Entstehung der Skulpturensammlung im Königlichen Museum 1820–1870 (November 2022): 122, fig. 134.

For information about the feminized male nude in the neoclassical tradition, see: Abigail Solomon-Godeau, ""The Body Politics of Homosociality,"" in Male Trouble: A Crisis in Representation (New York: Thames and Hudson, 1997), 43-97.",,Sculpture,Painting and Sculpture of Europe,,large scale,Art Institute of Chicago,USA
Vase,1766,"Clodion (Claude Michel)
French, 1738-1814",France,Marble,Through prior acquisition of the George F. Harding Collection; Harold L. Stuart Endowment,"Stella Rubinstein-Bloch, Catalogue of the Collection of George and Florence Blumenthal, Vol. V: Paintings, Drawings, Sculptures, XVIIIth Century (Paris, 1930), pl. LVIII.

Anne L. Poulet, “A Neoclassical Vase by Clodion,” Art Institute of Chicago Museum Studies 15, 2 (1989), pp. 139-53.

Michael Levey, “Clodion,” exhibition review, Burlington Magazine (June 1992), pp. 395-97.

Barbara Scott, “Clodion as a Monumental Sculptor,” Apollo (June 1992), pp. 395-96.

Wardropper, Ian, “Collecting European Scupture at The Art Institute of Chicago,”
Apollo (Soeptember 2001), pp. 3-12.","New York, Metropolitan Museum of Art, “French Painting and Sculpture of the XVIII Century,” 6 November 1935 – 5 January 1936, no. 99.

Paris, Musée du Louvre, “Clodion,” 20 March – 29 June 1992, no. 7.

Philadelphia Museum of Art, “Art in Rome in the Eighteenth Century,” 16 March – 28 May 2000, and Museum of Fine Arts, Houston, 25 June – 17 September 2000, no. 126.",Sculpture,Painting and Sculpture of Europe,,vase,Art Institute of Chicago,USA
"Bust of Anne-Marie-Louise Thomas de Domangeville de Sérilly, Comtesse de Pange",1780,"Jean Antoine Houdon
French, 1741—1828",France,Marble,"Through prior acquisitions of the George F. Harding Collection; the Lacy Armour, Harry and Maribel G. Blum Foundation, Richard T. Crane, Jr. and European Decorative Arts Purchase endowments; Eloise W. Martin and European Decorative Arts Purchase funds; purchased with funds provided by the Woman's Board in honor of Gloria Gottlieb and Mrs. Eric Oldberg; through prior acquisitions of Robert Allerton, Mary and Leigh Block, Mr. and Mrs. Robert Andrew Brown, Miss Janet Falk, J.S. Landon Fund, Brooks and Hope B. McCormick, Mr. and Mrs. Joseph Regenstein, Sr., Mrs. Florene Schoenborn, and the Solomon A. Smith Charitable Trust through the Antiquarian Society",,,Sculpture,Painting and Sculpture of Europe,,sculpture,Art Institute of Chicago,USA
