id,title,content.descriptiveNonRepeating.record_link,content.descriptiveNonRepeating.title.content,content.descriptiveNonRepeating.data_source,content.indexedStructured.date,content.indexedStructured.object_type,content.indexedStructured.name,content.indexedStructured.topic,content.indexedStructured.language,content.indexedStructured.place,content.freetext.date,content.indexedStructured.culture,content.indexedStructured.online_media_rights,content.indexedStructured.online_media_type,content.freetext.culture,content.freetext.publisher
ld1-1643410167033-1643410186290-1,Indet. sp.,http://n2t.net/ark:/65665/30ddbff2f-5946-4798-b0b5-1671baee4e4e,Indet. sp.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '24 Jun 1928'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Indet. sp.'}]"
ld1-1643407258909-1643407288050-0,Indet. sp.,http://n2t.net/ark:/65665/3fc47e3dd-c9d3-4a32-a3ae-0113107018c7,Indet. sp.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '1924'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Indet. sp.'}]"
ld1-1643410167033-1643410242002-0,Ximenia americana L. var. americana,http://n2t.net/ark:/65665/35d6ae37c-febb-49bc-875c-d9637b0f7639,Ximenia americana L. var. americana,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '1922'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Ximenia americana L. var. americana'}]"
ld1-1643410167033-1643410231738-1,Viscum decurrens (Engl.) Baker & Sprague,http://n2t.net/ark:/65665/3bf7efebc-6cec-4d30-bd17-ed0505a6b513,Viscum decurrens (Engl.) Baker & Sprague,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '3 Dec 1924'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Viscum decurrens (Engl.) Baker & Sprague'}]"
ld1-1657621325639-1657621424384-0,Umbilicaria africana (Jatta) Krog & Swinscow,http://n2t.net/ark:/65665/38c31515a-c550-4fd2-a9cf-7b8eea301ed0,Umbilicaria africana (Jatta) Krog & Swinscow,NMNH - Botany Dept.,['1970s'],,"['Lambinon, J.']",['Lecanoromycetes'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '26 Jan 1972'}]",,,,,"[{'label': 'Published Name', 'content': 'Umbilicaria africana (Jatta) Krog & Swinscow'}]"
ld1-1643410167033-1643410194284-1,Indet. sp.,http://n2t.net/ark:/65665/3c75f7c52-84f4-46d2-a19c-2e75a20375de,Indet. sp.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '1922'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Indet. sp.'}]"
ld1-1643407258909-1643407315090-0,Indet. sp.,http://n2t.net/ark:/65665/3cc285743-8f70-4d30-b2cb-3706037012d0,Indet. sp.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '15 Nov 1921'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Indet. sp.'}]"
ld1-1657621325639-1657621425098-1,Trichothelium alboatrum Vain.,http://n2t.net/ark:/65665/334a81a06-1969-4e08-8f57-fdaeeda444d1,Trichothelium alboatrum Vain.,NMNH - Botany Dept.,['1970s'],,"['Lisowski, S.']",['Lecanoromycetes'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '26 Mar 1975'}]",,,,,"[{'label': 'Published Name', 'content': 'Trichothelium alboatrum Vain.'}]"
ld1-1643414195102-1643414252976-0,Tetraodon schoutedeni,http://n2t.net/ark:/65665/3a08cfef1-582c-4fe7-8f61-9d7d8c01fa19,Tetraodon schoutedeni,NMNH - Vertebrate Zoology - Fishes Division,['1960s'],,"['Brichard, P.']","['Actinopterygii', 'Fishes']",,"['Africa', 'Democratic Republic of the Congo', 'Kinshasa Province']","[{'label': 'Collection Date', 'content': '1960'}]",,,,,"[{'label': 'Published Name', 'content': 'Tetraodon schoutedeni'}]"
ld1-1651573073468-1651573113879-0,Caloplaca cinnabarina (Ach.) Zahlbr.,http://n2t.net/ark:/65665/3a9456e70-ecbd-4021-9185-c237d8947a0c,Caloplaca cinnabarina (Ach.) Zahlbr.,NMNH - Botany Dept.,,,['Van der Jul'],['Lecanoromycetes'],,"['Africa', 'Zimbabwe']",,,,['Images'],,"[{'label': 'Published Name', 'content': 'Caloplaca cinnabarina (Ach.) Zahlbr.'}]"
ld1-1643408696072-1643408749014-0,Schizothrix calcicola Gomont,http://n2t.net/ark:/65665/3ee9b481c-f35b-41a9-bb2e-27bcb74493a3,Schizothrix calcicola Gomont,NMNH - Botany Dept.,['1950s'],,"['Fox, M.', 'Collection of Francis Drouet']",,,"['Edo', 'Benin', 'Africa', 'Nigeria']","[{'label': 'Collection Date', 'content': 'May 1954'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Schizothrix calcicola Gomont'}]"
ld1-1657621325639-1657621428885-1,Strigula nemathora Mont.,http://n2t.net/ark:/65665/3e317ca41-f3c6-4cc9-afb5-023f4f353a7f,Strigula nemathora Mont.,NMNH - Botany Dept.,['1970s'],,"['Lambinon, J.']",['Dothideomycetes'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '28 Dec 1971'}]",,,,,"[{'label': 'Published Name', 'content': 'Strigula nemathora Mont.'}]"
ld1-1657621325639-1657621427709-0,Strigula sp.,http://n2t.net/ark:/65665/3909a10ce-18d5-4c53-b4cb-6af8b870a73d,Strigula sp.,NMNH - Botany Dept.,['1960s'],,"['Lisowski, S.']",['Dothideomycetes'],,"['Guinea', 'Africa']","[{'label': 'Collection Date', 'content': '25 Mar 1962'}]",,,,,"[{'label': 'Published Name', 'content': 'Strigula sp.'}]"
